Date Time,Full Message,Template 1,Word 1,Conjunction,Template 2,Word 2,Gesture,Location,Umbrella Location,Appraisals
17/11/2022 21:59,visions of victory... so to speak good luck!,"['visions of ', '...']",victory, so to speak ,['!'],good luck,Reverential Bow,Limgrave,Limgrave,516
17/11/2022 21:59,praise the legs!,['praise the '],legs,,,,Jump for Joy,Stranded Graveyard,Limgrave,381
17/11/2022 21:59,"didn't expect jumping..., praise the legs!","[""didn't expect "", '...']",jumping,",",['praise the '],legs,Jump for Joy,Stranded Graveyard,Limgrave,265
17/11/2022 21:59,horse,,horse,,,,,Stranded Graveyard,Limgrave,229
17/11/2022 21:59,could this be a necessary item?,"['could this be a ', '?']",necessary item,,,,,Stranded Graveyard,Limgrave,208
17/11/2022 21:59,let there be good fortune,['let there be '],good fortune,,,,,Chapel of Anticipation,Limgrave,177
17/11/2022 21:59,"don't give up, skeleton!",,don't give up,",",['!'],skeleton,Point Downwards,Stranded Graveyard,Limgrave,133
17/11/2022 21:59,"don't give up, skeleton",,don't give up,",",,skeleton,,Stranded Graveyard,Limgrave,133
17/11/2022 21:59,didn't expect weak foe...,"[""didn't expect "", '...']",weak foe,,,,Rest,Stranded Graveyard,Limgrave,102
17/11/2022 21:59,"ahh, flower...","['ahh, ', '...']",flower,,,,,Stranded Graveyard,Limgrave,81
17/11/2022 21:59,likely head,['likely '],head,,,,,Stranded Graveyard,Limgrave,73
17/11/2022 21:59,hidden path ahead,[' ahead'],hidden path,,,,Point Forwards,Chapel of Anticipation,Limgrave,71
17/11/2022 21:59,hidden path ahead,[' ahead'],hidden path,,,,,Stranded Graveyard,Limgrave,71
17/11/2022 21:59,praise the jump attack!,['praise the '],jump attack,,,,,Stranded Graveyard,Limgrave,69
17/11/2022 21:59,be wary of enemy,['be wary of '],enemy,,,,,Chapel of Anticipation,Limgrave,68
17/11/2022 21:59,time for revenge,['time for '],revenge,,,,Point Downwards,Stranded Graveyard,Limgrave,68
17/11/2022 21:59,something incredible ahead,[' ahead'],something incredible,,,,,Stranded Graveyard,Limgrave,51
17/11/2022 21:59,something incredible ahead,[' ahead'],something incredible,,,,,Stranded Graveyard,Limgrave,51
17/11/2022 21:59,visions of treasure chest... but despair...,"['visions of ', '...']",treasure chest, but ,,despair,Dejection,Gatefront Ruins,Limgrave,49
17/11/2022 21:59,didn't expect erdtree...,"[""didn't expect "", '...']",erdtree,,,,,Chapel of Anticipation,Limgrave,47
17/11/2022 21:59,time for rolling,['time for '],rolling,,,,,Stranded Graveyard,Limgrave,42
17/11/2022 21:59,armament ahead,[' ahead'],armament,,,,Point Forwards,Limgrave,Limgrave,41
17/11/2022 21:59,seems familiar…... all the more time for death,['...'],seems familiar…, all the more ,['time for '],death,Rapture,Chapel of Anticipation,Limgrave,40
17/11/2022 21:59,visions of arms...,"['visions of ', '...']",arms,,,,,Limgrave,Limgrave,40
17/11/2022 21:59,try fingers,['try '],fingers,,,,The Ring,Stranded Graveyard,Limgrave,36
17/11/2022 21:59,jump attack required ahead,[' required ahead'],jump attack,,,,,Stranded Graveyard,Limgrave,36
17/11/2022 21:59,be wary of boss,['be wary of '],boss,,,,,Stranded Graveyard,Limgrave,34
17/11/2022 21:59,up ahead,[' ahead'],up,,,,,Stranded Graveyard,Limgrave,33
17/11/2022 21:59,be wary of betrayal,['be wary of '],betrayal,,,,,Stranded Graveyard,Limgrave,32
17/11/2022 21:59,precious item required ahead,[' required ahead'],precious item,,,,,Stranded Graveyard,Limgrave,31
17/11/2022 21:59,why is it always cave?,"['why is it always', '?']",cave,,,,,Stranded Graveyard,Limgrave,28
17/11/2022 21:59,east required ahead,[' required ahead'],east,,,,,Chapel of Anticipation,Limgrave,23
17/11/2022 21:59,could this be a shortcut? but no bridge ahead,"['could this be a ', '?']",shortcut, but ,"['no ', ' ahead']",bridge,Wait!,Chapel of Anticipation,Limgrave,20
17/11/2022 21:59,praise the pickle!,['praise the '],pickle,,,,,Chapel of Anticipation,Limgrave,20
17/11/2022 21:59,bridge!,['!'],bridge,,,,,Chapel of Anticipation,Limgrave,19
17/11/2022 21:59,"first off, good luck","['first off, ']",good luck,,,,,Stranded Graveyard,Limgrave,18
17/11/2022 21:59,"first off, help me...","['first off, ']",help me...,,,,,Chapel of Anticipation,Limgrave,16
17/11/2022 21:59,strong foe ahead,[' ahead'],strong foe,,,,,Chapel of Anticipation,Limgrave,15
17/11/2022 21:59,strong foe ahead,[' ahead'],strong foe,,,,,Limgrave,Limgrave,15
17/11/2022 21:59,strong foe ahead,[' ahead'],strong foe,,,,,Gatefront Ruins,Limgrave,15
17/11/2022 21:59,"ahh, castle...","['ahh, ', '...']",castle,,,,,Chapel of Anticipation,Limgrave,14
17/11/2022 21:59,necessary item ahead,[' ahead'],necessary item,,,,,Gatefront Ruins,Limgrave,14
17/11/2022 21:59,try crouching,['try '],crouching,,,,,Stranded Graveyard,Limgrave,13
17/11/2022 21:59,are you ready?,,are you ready?,,,,What Do You Want?,Chapel of Anticipation,Limgrave,12
17/11/2022 21:59,still no fingers...,"['still no ', '...']",fingers,,,,,Stranded Graveyard,Limgrave,12
17/11/2022 21:59,why is it always lovable sort?,"['why is it always', '?']",lovable sort,,,,,Church of Elleh,Limgrave,12
17/11/2022 21:59,love ahead,[' ahead'],love,,,,,Limgrave,Limgrave,12
17/11/2022 21:59,seek down,['seek '],down,,,,Point Downwards,Stranded Graveyard,Limgrave,11
17/11/2022 21:59,"behold, grace!","['behold, ', '!']",grace,,,,,Stranded Graveyard,Limgrave,11
17/11/2022 21:59,seek sentry,['seek '],sentry,,,,,Limgrave,Limgrave,11
17/11/2022 21:59,visions of tarnished...,"['visions of ', '...']",tarnished,,,,,Stranded Graveyard,Limgrave,10
17/11/2022 21:59,"first off, defeating one-by-one","['first off, ']",defeating one-by-one,,,,,Stranded Graveyard,Limgrave,10
17/11/2022 21:59,seek head,['seek '],head,,,,,Limgrave,Limgrave,10
17/11/2022 21:59,dog!,['!'],dog,,,,,Church of Elleh,Limgrave,9
17/11/2022 21:59,"just getting started, o just getting started","[', o ']",just getting started,,,,,Limgrave,Limgrave,9
17/11/2022 21:59,enemy ahead,[' ahead'],enemy,,,,,Stranded Graveyard,Limgrave,8
17/11/2022 21:59,"bloodstain, o bloodstain, death!","[', o ']",bloodstain,",",['!'],death,What Do You Want?,Stranded Graveyard,Limgrave,8
17/11/2022 21:59,stay calm!,['!'],stay calm,,,,Jump for Joy,Limgrave,Limgrave,8
17/11/2022 21:59,no enemy ahead,"['no ', ' ahead']",enemy,,,,,Chapel of Anticipation,Limgrave,7
17/11/2022 21:59,no enemy ahead,"['no ', ' ahead']",enemy,,,,,Stranded Graveyard,Limgrave,7
17/11/2022 21:59,no hole ahead,"['no ', ' ahead']",hole,,,,,Stranded Graveyard,Limgrave,7
17/11/2022 21:59,"luring out, o luring out","[', o ']",luring out,,,,,Limgrave,Limgrave,7
17/11/2022 21:59,be wary of weak foe,['be wary of '],weak foe,,,,,Limgrave,Limgrave,7
17/11/2022 21:59,weak foe ahead,[' ahead'],weak foe,,,,,Chapel of Anticipation,Limgrave,6
17/11/2022 21:59,weak foe ahead,[' ahead'],weak foe,,,,,Stranded Graveyard,Limgrave,6
17/11/2022 21:59,warrior ahead,[' ahead'],warrior,,,,,Stranded Graveyard,Limgrave,6
17/11/2022 21:59,"ahh, skeleton...","['ahh, ', '...']",skeleton,,,,,Stranded Graveyard,Limgrave,6
17/11/2022 21:59,"ahh, rushing in...","['ahh, ', '...']",rushing in,,,,,Stranded Graveyard,Limgrave,6
17/11/2022 21:59,life ahead,[' ahead'],life,,,,,Stranded Graveyard,Limgrave,6
17/11/2022 21:59,weak foe ahead,[' ahead'],weak foe,,,,,Limgrave,Limgrave,6
17/11/2022 21:59,why is it always treasure chest?,"['why is it always', '?']",treasure chest,,,,,Gatefront Ruins,Limgrave,6
17/11/2022 21:59,praise the elden ring!,['praise the '],elden ring,,,,Wave,Chapel of Anticipation,Limgrave,5
17/11/2022 21:59,praise the elden ring!,['praise the '],elden ring,,,,,Stranded Graveyard,Limgrave,5
17/11/2022 21:59,so lonely... ahead,[' ahead'],so lonely...,,,,,Limgrave,Limgrave,5
17/11/2022 21:59,be wary of strong foe,['be wary of '],strong foe,,,,,Limgrave,Limgrave,5
17/11/2022 21:59,let there be love,['let there be '],love,,,,Warm Welcome,Limgrave,Limgrave,4
17/11/2022 21:59,precious item ahead,[' ahead'],precious item,,,,Point Forwards,Limgrave,Limgrave,4
17/11/2022 21:59,offer sacrifice,['offer '],sacrifice,,,,,Chapel of Anticipation,Limgrave,3
17/11/2022 21:59,ill-omened creature!,['!'],ill-omened creature,,,,,Stranded Graveyard,Limgrave,3
17/11/2022 21:59,"behold, elden ring!","['behold, ', '!']",elden ring,,,,,Stranded Graveyard,Limgrave,3
17/11/2022 21:59,praise the jumping!,['praise the '],jumping,,,,,Limgrave,Limgrave,3
17/11/2022 21:59,likely lake,['likely '],lake,,,,,Chapel of Anticipation,Limgrave,2
17/11/2022 21:59,be wary of ahead,['be wary of '],ahead,,,,,Stranded Graveyard,Limgrave,2
17/11/2022 21:59,"ahh, chaos...","['ahh, ', '...']",chaos,,,,,Stranded Graveyard,Limgrave,2
17/11/2022 21:59,could this be a lord? except didn't expect weak foe...,"['could this be a ', '?']",lord, except ,"[""didn't expect "", '...']",weak foe,Dejection,Stranded Graveyard,Limgrave,2
17/11/2022 21:59,try knight,['try '],knight,,,,,Stranded Graveyard,Limgrave,2
17/11/2022 21:59,no dog ahead,"['no ', ' ahead']",dog,,,,,Church of Elleh,Limgrave,2
17/11/2022 21:59,map ahead,[' ahead'],map,,,,,Limgrave,Limgrave,2
17/11/2022 21:59,map ahead,[' ahead'],map,,,,,Limgrave,Limgrave,2
17/11/2022 21:59,"bridge, o bridge","[', o ']",bridge,,,,,Chapel of Anticipation,Limgrave,1
17/11/2022 21:59,no lover ahead,"['no ', ' ahead']",lover,,,,,Chapel of Anticipation,Limgrave,1
17/11/2022 21:59,item ahead,[' ahead'],item,,,,,Stranded Graveyard,Limgrave,1
17/11/2022 21:59,church!,['!'],church,,,,,Limgrave,Limgrave,1
17/11/2022 21:59,high road ahead,[' ahead'],high road,,,,,Limgrave,Limgrave,1
17/11/2022 21:59,"behold, night!","['behold, ', '!']",night,,,,,Limgrave,Limgrave,1
17/11/2022 21:59,weak foe...,['...'],weak foe,,,,,Church of Elleh,Limgrave,1
17/11/2022 21:59,item ahead,[' ahead'],item,,,,,Limgrave,Limgrave,1
17/11/2022 21:59,item ahead,[' ahead'],item,,,,,Limgrave,Limgrave,1
17/11/2022 21:59,holy!,['!'],holy,,,,,Chapel of Anticipation,Limgrave,0
17/11/2022 21:59,death,,death,,,,,Stranded Graveyard,Limgrave,0
17/11/2022 21:59,didn't expect victory...,"[""didn't expect "", '...']",victory,,,,,Stranded Graveyard,Limgrave,0
17/11/2022 21:59,why is it always liar?,"['why is it always', '?']",liar,,,,,Stranded Graveyard,Limgrave,0
18/11/2022 17:21,could this be a necessary item?,"['could this be a ', '?']",necessary item,,,,,Stormhill,Limgrave,51
18/11/2022 17:21,be wary of ambush,['be wary of '],ambush,,,,Point Forwards,Stormgate,Limgrave,25
18/11/2022 17:21,try circling around and then seek destruction,['try '],circling around, and then ,['seek '],destruction,,Stormgate,Limgrave,5
18/11/2022 17:21,treasure chest ahead,[' ahead'],treasure chest,,,,,Stormhill,Limgrave,5
18/11/2022 17:21,be wary of archer,['be wary of '],archer,,,,,Limgrave,Limgrave,4
